"Frequency_Hz","Frequency_kHz","Label","Group","Mode","Bandwidth_Hz","Service","Country","Language","Target","Schedule_UTC","Days","Season","Station","Source_Dataset","Source_URL","Notes"
"531000","531","R.Algiers Int. · 1930-2000Z","EiBi A26 – BCAST","AM","9000","BCAST","ALG","S","NAf","1930-2000","","","R.Algiers Int.","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 63; mode token: AM"
"531000","531","R.Algiers Int. · 2000-2200Z","EiBi A26 – BCAST","AM","9000","BCAST","ALG","A","NAf","2000-2200","","","R.Algiers Int.","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 64; mode token: AM"
"531000","531","R.Algiers Int. · 2200-2300Z","EiBi A26 – BCAST","AM","9000","BCAST","ALG","F","NAf","2200-2300","","","R.Algiers Int.","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 65; mode token: AM"
"531000","531","R.Algiers Int. · 2300-2315Z","EiBi A26 – BCAST","AM","9000","BCAST","ALG","E","NAf","2300-2315","","","R.Algiers Int.","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 66; mode token: AM"
"531000","531","R.Algiers Int. · 2315-2330Z","EiBi A26 – BCAST","AM","9000","BCAST","ALG","S","NAf","2315-2330","","","R.Algiers Int.","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 67; mode token: AM"
"531000","531","R.Algiers Int. · 2330-0450Z","EiBi A26 – BCAST","AM","9000","BCAST","ALG","A,F","NAf","2330-0450","","","R.Algiers Int.","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 68; mode token: AM"
"549000","549","CNR5 Cross-Strait Radio · 0000-0900Z","EiBi A26 – BCAST","AM","9000","BCAST","CHN","M","TWN","0000-0900","","","CNR5 Cross-Strait Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 69; mode token: AM"
"549000","549","CNR5 Cross-Strait Radio · 0900-1000Z","EiBi A26 – BCAST","AM","9000","BCAST","CHN","M","TWN","0900-1000","","","CNR5 Cross-Strait Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 70; mode token: AM"
"549000","549","CNR5 Cross-Strait Radio · 1000-1705Z","EiBi A26 – BCAST","AM","9000","BCAST","CHN","M","TWN","1000-1705","","","CNR5 Cross-Strait Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 71; mode token: AM"
"549000","549","CNR5 Cross-Strait Radio · 2055-2300Z","EiBi A26 – BCAST","AM","9000","BCAST","CHN","M","TWN","2055-2300","","","CNR5 Cross-Strait Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 72; mode token: AM"
